Time_Index,day,solar_cf,wind_cf,demand,electricity_price
1,1,0,0.504,126,-0.02
2,1,0,0.426,127,-0.05
3,1,0,0.348,142,-0.02
4,1,0,0.31,128,0
5,1,0,0.338,128,0.04
6,1,0,0.396,130,0.06
7,1,0.00962,0.518,133,0.54
8,1,0.04348,0.522,135,2.24
9,1,0.18603,0.588,135,2
10,1,0.38459,0.782,134,1.35
11,1,0.56699,1,132,4.13
12,1,0.70817,1,130,27.96
13,1,0.80959,1,127,50.37
14,1,0.85779,1,142,53.76
15,1,0.85645,1,136,56.77
16,1,0.8074,1,127,51.4
17,1,0.71439,1,147,35.39
18,1,0.56322,1,166,40.74
19,1,0.36729,0.708,159,35.55
20,1,0.14003,0.376,146,23.92
21,1,0.04975,0.57,152,17.7
22,1,0.014,0.784,141,12.39
23,1,0,0.646,127,7.35
24,1,0,0.512,127,4.19
25,2,0,0.436,128,4.75
26,2,0,0.422,128,31.59
27,2,0,0.37,128,49.96
28,2,0,0.346,127,58.46
29,2,0,0.416,127,59.05
30,2,0,0.448,129,68.65
31,2,0.00922,0.426,134,74.18
32,2,0.01832,0.282,164,65.02
33,2,0.12322,0.22,189,64.71
34,2,0.15246,0.178,181,66.74
35,2,0.28235,0.146,177,64.43
36,2,0.463,0.122,186,65.04
37,2,0.50182,0.08,167,73.85
38,2,0.56306,0.022,163,66.62
39,2,0.41863,0.006,153,64.36
40,2,0.47528,0.002,156,60
41,2,0.55219,0.002,150,49.5
42,2,0.33653,0.002,165,44.19
43,2,0.2184,0.004,179,26.83
44,2,0.12499,0.008,207,0
45,2,0.05772,0.026,155,-1.23
46,2,0.01776,0.072,151,-1.26
47,2,0,0.102,150,-1.31
48,2,0,0.072,136,-1.39
49,3,0,0.04,130,-1.26
50,3,0,0.04,137,2.58
51,3,0,0.048,122,40.8
52,3,0,0.054,122,62.56
53,3,0,0.068,123,67.39
54,3,0,0.116,126,62.92
55,3,0.00917,0.196,137,58.84
56,3,0.05372,0.212,176,55.94
57,3,0.18582,0.178,192,56.18
58,3,0.33205,0.142,177,60.91
59,3,0.49166,0.122,182,68.72
60,3,0.60587,0.12,187,71.56
61,3,0.62526,0.134,179,85.72
62,3,0.63255,0.182,174,92.38
63,3,0.61944,0.272,199,86.07
64,3,0.58755,0.382,174,73.23
65,3,0.54071,0.486,184,67.41
66,3,0.43746,0.446,159,65
67,3,0.31245,0.322,171,58.12
68,3,0.18073,0.174,221,57.3
69,3,0.04778,0.056,182,50.46
70,3,0.02132,0.016,197,40
71,3,0,0.006,207,25.48
72,3,0,0.004,209,35
73,4,0,0.004,205,57.73
74,4,0,0.002,180,72.65
75,4,0,0.002,168,85.02
76,4,0,0,144,91.47
77,4,0,0,140,94.2
78,4,0,0,143,91.59
79,4,0.00754,0,149,90
80,4,0.04749,0,175,86.26
81,4,0.17119,0,199,85.96
82,4,0.37251,0,178,92.11
83,4,0.54322,0.02,176,98.62
84,4,0.6921,0.02,178,101.93
85,4,0.79337,0.03,178,121.22
86,4,0.84252,0.03,171,129.28
87,4,0.84163,0.03,163,110.95
88,4,0.80378,0.05,160,96.94
89,4,0.71084,0.07,158,88.5
90,4,0.57525,0.1,163,85.07
91,4,0.39937,0.18,235,87.67
92,4,0.18745,0.29,245,86.08
93,4,0.03174,0.38,202,80.51
94,4,0.02143,0.43,196,77.01
95,4,0,0.34,149,71.7
96,4,0,0.26,149,66.34
97,5,0,0.2,182,71.42
98,5,0,0.16,184,77.3
99,5,0,0.13,184,87.6
100,5,0,0.16,182,90.14
101,5,0,0.24,169,95.12
102,5,0,0.35,170,96.32
103,5,0.01062,0.41,174,98.23
104,5,0.04558,0.26,177,92.4
105,5,0.18701,0.11,180,91.92
106,5,0.38002,0.13,186,96.87
