Time_Index,ng,electricity
1,25.4,0.01
2,25.4,0
3,25.4,-0.01
4,25.4,-0.03
5,25.4,-0.02
6,25.4,-0.05
7,25.4,-0.02
8,25.4,0
9,25.4,0.04
10,25.4,0.06
11,25.4,0.54
12,25.4,2.24
13,25.4,1.97
14,25.4,1.13
15,25.4,3.19
16,25.4,40
17,25.4,84.46
18,25.4,61.74
19,25.4,61.27
20,25.4,59.97
21,25.4,54.92
22,25.4,47.65
23,25.4,35.55
24,25.4,29.39
25,25.4,19.6
26,25.4,27.33
27,25.4,16.2
28,25.4,9.5
29,25.4,11.2
30,25.4,44.43
31,25.4,56.56
32,25.4,64.28
33,25.4,66.12
34,25.4,70.6
35,25.4,78.8
36,25.4,99.9
37,25.4,102.5
38,25.4,110.6
39,25.4,105.7
40,25.4,100.7
41,25.4,118.93
42,25.4,81.3
43,25.4,70.1
44,25.4,66.7
45,25.4,54.9
46,25.4,53.18
47,25.4,54.9
48,25.4,-0.39
49,25.4,-1.61
50,25.4,-1.39
51,25.4,-1.31
52,25.4,-1.39
53,25.4,-1.95
54,25.4,1.05
55,25.4,40.63
56,25.4,68.3
57,25.4,75.9
58,25.4,73.2
59,25.4,69.2
60,25.4,60
61,25.4,58.86
62,25.4,60.86
63,25.4,76
64,25.4,79
65,25.4,101
66,25.4,114.6
67,25.4,100
68,25.4,73.23
69,25.4,67.41
70,25.4,65
71,25.4,58.12
72,25.4,57.3
73,25.4,50.46
74,25.4,40
75,25.4,25.48
76,25.4,35
77,25.4,57.73
78,25.4,72.65
79,25.4,85.02
80,25.4,91.47
81,25.4,94.2
82,25.4,91.61
83,25.4,90.03
84,25.4,86.28
85,25.4,85.96
86,25.4,92.11
87,25.4,98.62
88,25.4,104.45
89,25.4,130.21
90,25.4,140.67
91,25.4,123.1
92,25.4,101.65
93,25.4,96.77
94,25.4,93.04
95,25.4,88.61
96,25.4,86.08
97,25.4,80.51
98,25.4,77.01
99,25.4,72.88
100,25.4,72.12
101,25.4,74.52
102,25.4,80.11
103,25.4,87.17
104,25.4,89.78
105,25.4,95
106,25.4,96.29
107,25.4,98.22
108,25.4,92.29
109,25.4,91.65
110,25.4,96.5
111,25.4,100.13
112,25.4,103.03
113,25.4,107.43
114,25.4,108.47
115,25.4,104
116,25.4,100.13
117,25.4,94.21
118,25.4,94.92
119,25.4,86.8
120,25.4,82.25
121,25.4,80.2
122,25.4,76.13
123,25.4,73.01
124,25.4,73.01
125,25.4,74.59
126,25.4,75.1
127,25.4,81.39
128,25.4,88.4
129,25.4,92.23
130,25.4,97.3
131,25.4,100.43
132,25.4,99.16
133,25.4,94.52
134,25.4,92.45
135,25.4,94.18
136,25.4,99.22
137,25.4,104.69
138,25.4,103.63
139,25.4,99
140,25.4,92.14
141,25.4,88
142,25.4,86.57
143,25.4,79.87
144,25.4,84.08
145,25.4,79.82
146,25.4,76.76
147,25.4,73.46
148,25.4,71.86
149,25.4,72.08
150,25.4,74.9
151,25.4,77.69
152,25.4,81.79
153,25.4,84.86
154,25.4,87.14
155,25.4,89.13
156,25.4,88.66
157,25.4,84.81
158,25.4,84.34
159,25.4,88.01
160,25.4,93.42
161,25.4,101.77
162,25.4,104.85
163,25.4,103.55
164,25.4,100.5
165,25.4,93.31
166,25.4,91.17
167,25.4,83.86
168,25.4,87.02
169,25.4,84.35
170,25.4,81.71
171,25.4,79
172,25.4,78.47
173,25.4,82.1
174,25.4,94.3
175,25.4,111.09
176,25.4,121.11
177,25.4,117.83
178,25.4,110.58
179,25.4,103
180,25.4,84.9
181,25.4,89.56
182,25.4,100
183,25.4,107.98
184,25.4,116.39
185,25.4,129.15
186,25.4,125.08
187,25.4,111.9
188,25.4,100.1
189,25.4,91
190,25.4,92
191,25.4,91.49
192,25.4,80.95
193,25.4,79.98
194,25.4,85
195,25.4,83.42
196,25.4,80.57
197,25.4,85.8
198,25.4,83.9
199,25.4,91.12
200,25.4,125.7
201,25.4,119.96
202,25.4,98
203,25.4,90
204,25.4,78.8
205,25.4,77.78
206,25.4,85
207,25.4,99.9
208,25.4,112.67
209,25.4,135.69
210,25.4,129.25
211,25.4,126.3
212,25.4,108.82
213,25.4,93.66
214,25.4,84.9
215,25.4,88
216,25.4,75.54
217,25.4,86.76
218,25.4,86.73
219,25.4,81.22
220,25.4,80.48
221,25.4,77.9
222,25.4,79.3
223,25.4,96
224,25.4,132.52
225,25.4,130.39
226,25.4,111.21
227,25.4,109.13
228,25.4,89.1
229,25.4,87.45
230,25.4,84.9
231,25.4,106.34
232,25.4,127.94
233,25.4,143.79
234,25.4,140
235,25.4,132.15
236,25.4,120
237,25.4,97.3
238,25.4,91.3
239,25.4,82.31
240,25.4,91.75
241,25.4,88.59
242,25.4,87.25
243,25.4,82.38
244,25.4,81.2
245,25.4,79.6
246,25.4,90
247,25.4,116.87
248,25.4,141
249,25.4,129.16
250,25.4,113.65
251,25.4,106.48
252,25.4,99.38
253,25.4,99
254,25.4,105.98
255,25.4,117.31
256,25.4,132.62
257,25.4,147.06
258,25.4,136.7
259,25.4,132.31
260,25.4,117.88
261,25.4,107.19
262,25.4,100
263,25.4,81
264,25.4,82.12
265,25.4,80.63
266,25.4,83.13
267,25.4,77.29
268,25.4,78
269,25.4,79.18
270,25.4,81.32
271,25.4,118.2
272,25.4,140.74
273,25.4,134.96
274,25.4,122.01
275,25.4,114.73
276,25.4,106.98
277,25.4,103.08
278,25.4,104.54
279,25.4,110
280,25.4,120
281,25.4,127.5
282,25.4,126
283,25.4,119.47
284,25.4,107.13
285,25.4,91.7
286,25.4,85.02
287,25.4,82.49
288,25.4,90
289,25.4,85.43
290,25.4,82
291,25.4,78.47
292,25.4,75
293,25.4,74.94
294,25.4,78.16
295,25.4,77.9
296,25.4,74.92
297,25.4,85.4
298,25.4,88.4
299,25.4,86.1
300,25.4,79.7
301,25.4,80.82
302,25.4,81.5
303,25.4,87
304,25.4,97.3
305,25.4,114.6
306,25.4,102.8
307,25.4,84.6
308,25.4,75.47
309,25.4,81
310,25.4,85
311,25.4,80
312,25.4,74.9
313,25.4,74.01
314,25.4,69.9
315,25.4,68.24
316,25.4,71.92
317,25.4,80
318,25.4,71.03
319,25.4,75.92
320,25.4,79.27
321,25.4,93
322,25.4,97.11
323,25.4,87.2
324,25.4,80.39
325,25.4,77.04
326,25.4,79.15
327,25.4,82.32
328,25.4,86.62
329,25.4,91.86
330,25.4,94.9
331,25.4,85
332,25.4,79.06
333,25.4,78.6
334,25.4,75.39
335,25.4,67.19
336,25.4,67.9
337,25.4,65
338,25.4,63.94
339,25.4,62.04
340,25.4,62.04
341,25.4,69.25
342,25.4,80.18
343,25.4,84.4
344,25.4,99.34
345,25.4,100.3
346,25.4,94.89
347,25.4,90.2
348,25.4,81.18
349,25.4,82.2
350,25.4,84.6
351,25.4,89.57
352,25.4,97.62
353,25.4,106.51
354,25.4,112.81
355,25.4,105.13
356,25.4,94.4
357,25.4,79.04
358,25.4,77.76
359,25.4,78.5
360,25.4,68
361,25.4,76.51
362,25.4,77.43
363,25.4,76.82
364,25.4,73.05
365,25.4,72.61
366,25.4,92.4
367,25.4,115.8
368,25.4,144.11
369,25.4,138.6
370,25.4,122
371,25.4,110
372,25.4,88
373,25.4,88.1
374,25.4,84
375,25.4,110.29
376,25.4,111.69
377,25.4,128.3
378,25.4,122.1
379,25.4,102
380,25.4,89.97
381,25.4,84
382,25.4,82.21
383,25.4,75.2
384,25.4,71.8
385,25.4,71.65
386,25.4,70.73
387,25.4,69.79
388,25.4,69.54
389,25.4,71.31
390,25.4,75.57
391,25.4,84.94
392,25.4,96.74
393,25.4,106.18
394,25.4,110.33
395,25.4,111.1
396,25.4,113.74
397,25.4,116.73
398,25.4,118
399,25.4,122.62
400,25.4,126.55
401,25.4,136.91
402,25.4,122.51
403,25.4,113.1
404,25.4,99.16
405,25.4,93.73
406,25.4,89.1
407,25.4,83.21
408,25.4,80.3
409,25.4,76.99
410,25.4,74.67
411,25.4,74.18
412,25.4,76.09
413,25.4,77.6
414,25.4,89.09
415,25.4,109.23
416,25.4,121.98
417,25.4,118.26
418,25.4,110.4
419,25.4,80
420,25.4,83.95
421,25.4,70.64
422,25.4,86.61
423,25.4,85.8
424,25.4,98.68
425,25.4,103.75
426,25.4,103.35
427,25.4,87.85
428,25.4,81
429,25.4,83.14
430,25.4,76.63
431,25.4,73.61
432,25.4,69.14
433,25.4,66.26
434,25.4,63
435,25.4,62.76
436,25.4,63.32
437,25.4,66.9
438,25.4,76.49
439,25.4,86
440,25.4,104.27
441,25.4,99.91
442,25.4,87.53
443,25.4,84
444,25.4,72.21
445,25.4,73.36
446,25.4,75.22
447,25.4,73.04
448,25.4,84.9
449,25.4,93.75
450,25.4,87.9
451,25.4,74.9
452,25.4,72.95
453,25.4,71.12
454,25.4,68.64
455,25.4,64.75
456,25.4,66
457,25.4,67.51
458,25.4,63.54
459,25.4,61.82
460,25.4,61.85
461,25.4,61.75
462,25.4,62.59
463,25.4,66.9
464,25.4,74.82
465,25.4,77.9
466,25.4,71.8
467,25.4,69.6
468,25.4,64.89
469,25.4,66.9
470,25.4,73.37
471,25.4,79.14
472,25.4,87.86
473,25.4,94.98
474,25.4,99.89
475,25.4,91.57
476,25.4,80
477,25.4,75.72
478,25.4,70.42
479,25.4,69.13
480,25.4,62.5
481,25.4,57
482,25.4,55.15
483,25.4,50.89
484,25.4,48.31
485,25.4,46.94
486,25.4,45
487,25.4,42.17
488,25.4,51
489,25.4,60
490,25.4,59.09
491,25.4,56.24
492,25.4,59.9
493,25.4,52.74
494,25.4,55.84
495,25.4,57.21
496,25.4,55.53
497,25.4,68.79
498,25.4,82
499,25.4,64
500,25.4,60.2
501,25.4,57
502,25.4,54.26
503,25.4,53.27
504,25.4,44.08
505,25.4,49.99
506,25.4,45
507,25.4,27.92
508,25.4,18
509,25.4,20.5
510,25.4,42.27
511,25.4,68.5
512,25.4,130
513,25.4,89.6
514,25.4,74.34
515,25.4,60.6
516,25.4,57.01
517,25.4,56.52
518,25.4,58.55
519,25.4,60.47
520,25.4,67
521,25.4,88.77
522,25.4,110.3
523,25.4,98.1
524,25.4,67.43
525,25.4,64.41
526,25.4,56.22
527,25.4,50.35
528,25.4,16.84
529,25.4,10.99
530,25.4,10
531,25.4,5
532,25.4,10.84
533,25.4,39.51
534,25.4,61.51
535,25.4,88.25
536,25.4,115.8
537,25.4,96.68
538,25.4,80.9
539,25.4,65
540,25.4,64.13
541,25.4,63.36
542,25.4,70.02
543,25.4,74.3
544,25.4,77.19
545,25.4,81.81
546,25.4,84.89
547,25.4,75.35
548,25.4,65
549,25.4,63.2
550,25.4,53.4
551,25.4,35
552,25.4,4.85
553,25.4,2.12
554,25.4,0
555,25.4,-3.89
556,25.4,-5
557,25.4,0
558,25.4,16.65
559,25.4,67.5
560,25.4,95
561,25.4,93.33
562,25.4,68
563,25.4,52.21
564,25.4,39.32
565,25.4,38.3
566,25.4,46.5
567,25.4,68.43
568,25.4,80
569,25.4,98
570,25.4,92.72
571,25.4,100.1
572,25.4,84
573,25.4,81.99
574,25.4,71.8
575,25.4,81.8
576,25.4,64.9
577,25.4,56.1
578,25.4,67.2
579,25.4,75
580,25.4,75.31
581,25.4,75.9
582,25.4,78.58
583,25.4,92.1
584,25.4,103.02
585,25.4,94
586,25.4,83.96
587,25.4,78.66
588,25.4,74.95
589,25.4,76.55
