Time_Index,Load_HSC_Tonne_z1,Load_HSC_Tonne_z2,Load_HSC_Tonne_z3
1,14.3,7.8,4.7
2,14.3,7.9,4.6
3,18.1,9.6,6
4,14,7.9,4.6
5,14,8,4.6
6,14.2,8.2,4.7
7,14.5,8.4,4.9
8,14.5,8.5,4.7
9,14.4,8.5,4.7
10,14.3,8.5,4.8
11,14.2,8.4,5.1
12,14,8.3,5
13,13.6,8.1,4.9
14,18,9.8,6.5
15,16.8,9.3,6.1
16,14.3,8.3,5.2
17,19.1,10.3,6.9
18,23.3,12.2,8.3
19,21.2,11.4,7.6
20,18.2,10,6.5
21,20.2,10.8,7.2
22,17.1,9.5,6.1
23,13.2,7.9,4.7
24,13.1,7.9,4.5
25,13.2,8,4.6
26,13.1,8,4.6
27,13,7.9,4.5
28,12.9,7.9,4.5
29,12.9,7.9,4.6
30,13.2,8,4.7
31,14.2,8.4,5.2
32,21.6,11.2,7.8
33,27.3,13.2,9.6
34,25.3,12.3,8.8
35,24.6,11.9,8.6
36,27.3,12.9,9.6
37,22.8,11,8
38,22.2,10.7,7.8
39,19.9,9.6,6.9
40,20.6,10,7.2
41,19.1,9.5,6.6
42,23,11.5,8.2
43,26.8,13.2,9.6
44,35,16.6,12.6
45,21.5,10.9,7.7
46,20.4,10.5,7.4
47,20,10.4,7.3
48,16.3,8.9,5.8
49,14.6,8.2,5.2
50,16.1,8.9,5.7
51,12.2,7.3,4.3
52,12.3,7.3,4.3
53,12.5,7.4,4.4
54,12.8,7.5,4.6
55,15.2,8.5,5.5
56,24.9,12.4,9.1
57,28.3,13.4,10
58,24.1,11.6,8.4
59,25.8,12.2,9.1
60,27.4,12.8,9.6
61,25.5,12.1,9
62,24.4,11.5,8.6
63,31.3,14.3,11
64,24.5,11.5,8.5
65,26.8,12.8,9.4
66,19.6,10.3,6.9
67,22.9,11.8,8.2
68,36.8,17.5,13.2
69,26.8,13.4,9.6
70,30.5,15.1,11.1
71,33.1,16.3,12
72,33.5,16.5,12.1
73,32,16.1,11.5
74,24.7,13.1,8.9
75,21.3,11.8,7.6
76,14.7,9.1,5.2
77,13.5,8.7,4.9
78,13.8,8.9,5
79,14.7,9.4,5.5
80,20.7,11.8,7.7
81,25.9,13.7,9.3
82,20.4,11.3,7.2
83,20,11.1,7.1
84,21.1,11.4,7.5
85,21.7,11.7,7.8
86,20.3,11,7.3
87,18.4,10.1,6.6
88,17.6,9.9,6.3
89,16.8,9.8,6
90,17.2,10.4,6.2
91,36.5,18.6,13.3
92,40,19.9,14.5
93,28.9,15.2,10.6
94,27.1,14.6,10
95,14.3,9.4,5.3
96,14.5,9.5,5.3
97,22.7,12.9,8.2
98,23,13.1,8.3
99,22.8,13,8.2
100,22.4,12.9,8
101,18.7,11.3,6.7
102,18.6,11.3,6.7
103,19.2,11.7,7
104,19.6,11.9,7.3
105,20,12.1,7.4
106,21.9,12.8,8.1
107,16.1,10.2,6
108,19.5,11.5,7.2
109,15.6,9.8,5.8
110,18.8,11,7
111,14.6,9.2,5.4
112,19.3,11.2,7.1
113,21.6,12.2,7.8
114,25.6,14.2,9.2
115,28,15.3,10.1
116,22.3,12.8,8
117,16.3,10.2,5.8
118,14.9,9.7,5.3
119,20.9,12.3,7.5
120,21.2,12.4,7.6
121,17.2,10.9,6
122,14.8,10,5
123,14.9,10.1,5.1
124,15,10.2,5.2
125,15.3,10.3,5.3
126,15.7,10.5,5.4
127,16.2,11,5.6
128,16.6,11.2,5.7
129,16.8,11.3,5.7
130,16.9,11.4,5.9
131,17,11.3,6.2
132,20.7,12.7,7.6
133,18.9,11.9,6.9
134,21.1,12.6,7.7
135,21.2,12.6,7.7
136,24.5,13.9,8.8
137,37.7,19.5,13.5
138,33.8,18.2,11.9
139,34.7,18.6,12.1
140,38.2,19.9,13.4
141,35.5,18.6,12.4
142,30.7,16.7,10.7
143,23.5,13.8,8.1
144,18.2,11.5,6.2
145,18.6,11.8,6.3
146,18.9,12,6.4
147,19,12.1,6.4
148,19.1,12.1,6.4
149,19.4,12.2,6.5
150,20.1,12.5,6.7
151,21.5,13.2,7.2
152,28.8,15.9,9.4
153,52.6,25.5,17.9
154,42.4,21.1,14.2
155,32.6,16.9,10.9
156,27.4,14.6,9
157,29.1,15.2,9.7
158,27.4,14.3,9.1
159,29,14.9,9.7
160,25.6,13.5,8.4
161,30.3,15.8,10.2
162,26.7,14.8,8.9
163,35.2,18.5,12.1
164,44.7,22.2,15.5
165,42.2,21.1,14.6
166,38.2,19.5,13.2
167,34.7,18.2,11.9
168,30.5,16.5,10.4
169,26.8,15,9
170,24.9,14.3,8.3
171,22.4,13.3,7.4
172,22.5,13.3,7.4
173,22.7,13.4,7.5
174,23.4,13.7,7.7
175,25,14.5,8.4
176,33,17.6,11.2
177,42.6,21.2,14.4
178,55.3,26.3,18.9
179,43,21,14.5
180,35.8,17.9,11.9
181,46.5,22.3,15.9
182,45.5,21.8,15.5
183,36.5,17.9,12.3
184,33.2,16.6,11
185,35.6,17.9,11.9
186,33.9,17.7,11.3
187,39,20,13.2
188,42.7,21.4,14.6
189,34,17.7,11.5
190,36.7,18.9,12.5
191,36.1,18.8,12.3
192,28.9,15.9,9.7
193,28.2,15.7,9.4
194,25.8,14.8,8.4
195,29.4,16.3,9.7
196,29.4,16.3,9.8
197,29.7,16.4,9.9
198,30.2,16.7,10.1
199,28.9,16.3,9.6
200,35.3,18.8,11.9
201,45.3,22.5,15.2
202,49.2,24,16.6
203,42.6,21.1,14.3
204,39.1,19.5,13
205,41.8,20.6,14.1
206,36.9,18.4,12.3
207,30.9,15.8,10.1
208,30.5,15.7,10
209,33.5,17.3,11
210,37,19.3,12.4
211,46.2,23.4,15.7
212,54.8,26.7,18.9
213,39.9,20.4,13.6
214,38.7,20.1,13.2
215,39.4,20.6,13.5
216,31.6,17.3,10.6
217,29.1,16.4,9.6
218,27.2,15.7,8.8
219,27.2,15.8,8.9
220,27.3,15.8,8.9
221,27.5,15.9,9
222,28.2,16.3,9.2
223,30.2,17.2,10
224,37.3,20,12.6
225,45.9,23.2,15.3
226,49.3,24.4,16.5
227,53,25.8,17.9
228,51.7,25,17.5
229,42.4,21.1,14.2
230,38.6,19.3,12.8
231,42.8,20.9,14.3
232,38.1,19,12.6
233,38.2,19.3,12.6
234,45.6,23,15.4
235,52.1,25.8,17.8
236,42.3,21.5,14.3
237,34.6,18.2,11.5
238,39.3,20.2,13.3
239,42,21.5,14.3
240,36.7,19.3,12.4
241,31.9,17.4,10.3
242,28.1,15.8,8.9
243,27.8,15.7,8.8
244,27.6,15.5,8.7
245,27.5,15.5,8.7
246,28,15.7,8.9
247,30.7,16.9,9.9
248,38.3,19.9,12.7
249,43.7,21.7,14.4
250,47.9,23.3,15.9
251,46.6,22.5,15.5
252,41,20,13.5
253,35.6,17.7,11.7
254,31.1,15.7,10.1
255,30.5,15.3,9.9
256,30.4,15.3,9.8
257,34.9,17.5,11.5
258,45.6,22.3,15.3
259,42.6,21.1,14.3
260,42.2,20.8,14.2
261,54.3,25.7,18.7
262,52,24.8,17.8
263,44.5,21.8,15.2
264,38.3,19.2,12.9
265,34.1,17.6,11.3
266,32.9,17.1,10.9
267,24.8,13.7,7.9
268,23.8,13.3,7.6
269,23.8,13.2,7.6
270,24.1,13.4,7.8
271,24.8,13.8,8.1
272,25.7,14.2,8.6
273,26.4,14.4,8.8
274,29.5,15.6,9.9
275,30,15.6,10.2
